"Refactor - C++","Extract Function - Refactoring ","Shift+Alt+M","C/C++ Editor"
"Edit","Undo","Ctrl+Z","In Dialogs and Windows"
"Views","Show View (Cheat Sheets)","Shift+Alt+Q H","In Windows"
"Text Editing","Expand All","Ctrl+Numpad_Multiply","Editing Text"
"Navigate","Go to Line","Ctrl+L","Editing Text"
"Navigate","Open Remote Task","Shift+Ctrl+Alt+F12","In Windows"
"Text Editing","Text Start","Ctrl+Home","Editing Text"
"Text Editing","Mark Word","Shift+Alt+2","Editing Text"
"Text Editing","Previous Line","Shift+Ctrl+P","Editing Text"
"Text Editing","Universal Argument","Alt+2","Editing Text"
"C/C++ Source","Open Declaration","F3","In C/C++ Views"
"Text Editing","Scroll Other Window","Ctrl+Alt+V","Editing Text"
"Text Editing","Backward Paragraph","Shift+Ctrl+Up","Editing Text"
"C/C++ Source","Show outline","Ctrl+]","C/C++ Editor"
"Edit","Forward Sexp","Alt+Right","Editing Text"
"C/C++ Source","Toggle Mark Occurrences","Shift+Alt+O","C/C++ Editor"
"Text Editing","Previous Line","Ctrl+P","Editing Text"
"File","Print","Ctrl+P","In Windows"
"Text Editing","Line End","Ctrl+E","Editing Text"
"Navigate","Forward History","Shift+Alt+0","In Windows"
"Text Editing","To Lower Case","Shift+Ctrl+Y","Editing Text"
"Text Editing","Begin Buffer Other Window","Alt+Home","Editing Text"
"Text Editing","Zap to Char","Alt+Z","In Windows"
"Text Editing","Forward Word","Alt+F","Editing Text"
"Text Editing","Transpose Characters","Ctrl+T","Editing Text"
"Navigate","Open Resource","Shift+Ctrl+R","In Windows"
"Text Editing","Next Line","Shift+Down","Editing Text"
"Text Editing","Universal Argument","Ctrl+Alt+0","Editing Text"
"Text Editing","Universal Argument","Alt+9","Editing Text"
"Text Editing","Delete Previous Word","Ctrl+Backspace","Editing Text"
"Navigate","Open Resource","Ctrl+X Ctrl+F","In Windows"
"Text Editing","Forward Character","Right","Editing Text"
"C/C++ Source","Add Block Comment","Shift+Ctrl+/","C/C++ Editor"
"Edit","Find and Replace","Alt+R","In Windows"
"Navigate","Backward History","Ctrl+X Ctrl+Left","In Windows"
"Text Editing","End Buffer Other Window","Alt+End","Editing Text"
"Text Editing","Set Mark","Ctrl+2","Editing Text"
"Text Editing","Forward Paragraph","Alt+}","Editing Text"
"Text Editing","Collapse All","Shift+Ctrl+Numpad_Divide","Editing Text"
"Text Editing","Delete Previous Word","Alt+Backspace","Editing Text"
"Text Editing","Forward Word","Shift+Alt+F","Editing Text"
"Text Editing","Line Down","Ctrl+N","Editing Text"
"Edit","Select All","Ctrl+X H","In Dialogs and Windows"
"Edit","Copy","Alt+W","In Dialogs and Windows"
"Navigate","Quick Outline","Shift+Ctrl+O","Task Markup Editor Source Context"
"Navigate","Next Sub-Tab","Alt+PageDown","In Dialogs and Windows"
"Text Editing","Next Line","Shift+Ctrl+N","Editing Text"
"Text Editing","View Kbd Macro","Ctrl+X Ctrl+K Ctrl+E","Editing Text"
"Text Editing","Previous Word","Ctrl+Left","Editing Text"
"File","New menu","Shift+Alt+N","In Windows"
"Text Editing","Text End","Ctrl+End","Editing Text"
"Text Editing","Universal Argument","Ctrl+Alt+8","Editing Text"
"Run/Debug","Step Into","F5","Debugging"
"File","Save","Ctrl+S","In Windows"
"Text Editing","Delete Next Word","Ctrl+Delete","Editing Text"
"Reverse Debugging Commands","Reverse Resume","Shift+F8","Debugging C/C++"
"Window","Activate Editor","F12","In Windows"
"Text Editing","End Buffer","Esc Shift+.","Editing Text"
"Text Editing","Delete Previous Word","Esc Backspace","Editing Text"
"Terminal view commands","Terminal view insert","Alt+A","Terminal widget context"
"Project","Make Target Build","Shift+F9","In Windows"
"Text Editing","Universal Argument","Alt+-","Editing Text"
"Text Editing","Backward Word","Ctrl+Left","Editing Text"
"Text Editing","Begin Line","Shift+Ctrl+A","Editing Text"
"Text Editing","Universal Argument","Ctrl+5","Editing Text"
"C/C++ Source","Comment/Uncomment","Ctrl+/","C/C++ Editor"
"C/C++ Source","Find References","Shift+Ctrl+G","In C/C++ Views"
"Text Editing","Query Replace","Alt+%","Editing Text"
"Window","Quick Access","Ctrl+3","In Windows"
"Text Editing","Deactivate Window","Ctrl+X 0","In Windows"
"Task","New Subtask","Shift+Insert","In Tasks View"
"Git","Paste Repository Path or URI","Ctrl+V","In Git Repositories View"
"Run/Debug","Toggle Breakpoint","Ctrl+X Ctrl+A Space","In Windows"
"Window","Quick Switch Editor","Ctrl+E","In Windows"
"Run/Debug","Go to Program Counter","Home","In Disassembly"
"Text Editing","Universal Argument","Alt+4","Editing Text"
"Text Editing","Narrow To Region","Ctrl+X N N","Editing Text"
"C/C++ Source","Find References","Shift+Ctrl+G","C/C++ Editor"
"File","Rename","F2","In Windows"
"Text Editing","Insert Register","Ctrl+X R G","Editing Text"
"Text Editing","Backward Word","Shift+Alt+B","Editing Text"
"Edit","Undo","Ctrl+X U","In Windows"
"C/C++ Source","Go to Previous Member","Shift+Ctrl+Up","C/C++ Editor"
"Navigate","Next","Alt+,","In Windows"
"Text Editing","Select Next Word","Shift+Ctrl+Right","Editing Text"
"Text Editing","Set Mark Command","Ctrl+Space","Editing Text"
"Text Editing","Next Line","Ctrl+N","Editing Text"
"Run/Debug","Resume","F8","Debugging"
"Text Editing","Universal Argument","Alt+1","Editing Text"
"Window","Quick Switch Editor","Ctrl+X B","In Windows"
"Navigate","Collapse All","Shift+Ctrl+Numpad_Divide","In Windows"
"Edit","Copy","Ctrl+Insert","In Dialogs and Windows"
"Terminal view commands","Terminal view insert","Alt+F","Terminal widget context"
"Text Editing","View Register","Ctrl+X R V","Editing Text"
"Text Editing","Split Window Horizontally","Ctrl+X 2","In Windows"
"Views","Show View (Synchronize)","Shift+Alt+Q Y","In Windows"
"Text Editing","Copy to Register","Ctrl+X X","Editing Text"
"Text Editing","Delete Indentation","Alt+^","Editing Text"
"Edit","Context Information","Shift+Ctrl+Space","In Dialogs and Windows"
